23/9/2023 13:8:58 /receb/type: 1/MessageSize: 9/TotalNumberOfPackets: 210/PacketID: 0/PayloadCRC: 
23/9/2023 13:8:58 /envio/type: 2/MessageSize: 10/TotalNumberOfPackets: 0/PacketID: 0/PayloadCRC: 
23/9/2023 13:8:59 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 1/PayloadCRC: 
23/9/2023 13:8:59 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 1/PayloadCRC: 
23/9/2023 13:9:0 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 2/PayloadCRC: 
23/9/2023 13:9:0 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 2/PayloadCRC: 
23/9/2023 13:9:1 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 3/PayloadCRC: 
23/9/2023 13:9:1 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 3/PayloadCRC: 
23/9/2023 13:9:2 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 4/PayloadCRC: 
23/9/2023 13:9:2 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 4/PayloadCRC: 
23/9/2023 13:9:3 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 5/PayloadCRC: 
23/9/2023 13:9:3 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 5/PayloadCRC: 
23/9/2023 13:9:4 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 6/PayloadCRC: 
23/9/2023 13:9:4 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 6/PayloadCRC: 
23/9/2023 13:9:5 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 7/PayloadCRC: 
23/9/2023 13:9:5 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 7/PayloadCRC: 
23/9/2023 13:9:6 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 8/PayloadCRC: 
23/9/2023 13:9:6 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 8/PayloadCRC: 
23/9/2023 13:9:7 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 9/PayloadCRC: 
23/9/2023 13:9:7 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 9/PayloadCRC: 
23/9/2023 13:9:8 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 10/PayloadCRC: 
23/9/2023 13:9:8 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 10/PayloadCRC: 
23/9/2023 13:9:9 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 11/PayloadCRC: 
23/9/2023 13:9:9 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 11/PayloadCRC: 
23/9/2023 13:9:10 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 12/PayloadCRC: 
23/9/2023 13:9:10 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 12/PayloadCRC: 
23/9/2023 13:9:11 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 13/PayloadCRC: 
23/9/2023 13:9:11 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 13/PayloadCRC: 
23/9/2023 13:9:12 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 14/PayloadCRC: 
23/9/2023 13:9:12 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 14/PayloadCRC: 
23/9/2023 13:9:14 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:15 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:16 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:17 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:18 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:18 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 19/PayloadCRC: 
23/9/2023 13:9:18 /envio/type: 6/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:19 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 20/PayloadCRC: 
23/9/2023 13:9:19 /envio/type: 6/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
23/9/2023 13:9:20 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
